Turismiobjekti nimi,Turismiobjekti kirjeldus,Kategooria,Tüüp,Teemaviited,Turismiobjekti koduleht,Turismiobjektii e-post,Turismiobjekti tel nr,Turismiobjekti aadress,Broneerimise link,Kvaliteedimärgised,Omadused ja üldine varustus,Tärnid,facebook,instagram,tiktok,X,Ettevõtte registrikood,Ettevõtte nimi,Ettevõtte aadress,Ettevõtte telefon,Ettevõtte e-post,Ettevõtte koduleht,Piirkond,Turismipiirkonnad ja kultuuriruumid,Saared,Hooaeg,Hooaja periood,Lahtiolekuaeg,Avatud ajad,Juurdepääsupiirangud,Tubade arv kokku,Voodikohad,Voodikohtade arv kõrghooajal,Voodikohtade arv madalhooajal,Haagissuvila kohtade arv,Telkimiskohtade arv
Reta Suurepere külaliskorter Haapsalus,"Reta Suurepere külaliskorter asub Haapsalu südalinnas. Korteris on suur avatud elutuba/köök ja kaks eraldi magamistuba.  Köök on täisvarustusega.
Sisehoovis on leilisaun, terrassil suur pinkidega laud. Grillimise võimalus ja auto parkimine on tasuta.",Majutus,Külaliskorter,Peresõbralik,https://www.reta.ee,laine@reta.ee,+372 5668 7802,"Posti tn 25, Haapsalu linn, Haapsalu linn, Lääne maakond",,,"Külmutuskapp,Parkimine tasuta,Pesumasin,WC,WIFI",,https://www.facebook.com/RetaMajutus/,,,,10102440.0,RETA LG OÜ,"Vase tänav 14, Kesklinna linnaosa, Tallinn, Harju maakond",+372 56687802,laine@reta.ee,http://www.reta.ee,Lääne-Eesti,,,Hooajaliselt,1 Mai - 31 August,Ainult ettetellimisel,,,3.0,0.0,5.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,1 September - 30 Aprill,Ainult ettetellimisel,,,3.0,0.0,5.0,0.0,0.0,0.0
Reute Residentsid,"Reute Residentsid asuvad Lahemaa rahvuspargis, Võsu ranna vahetus läheduses, kauni rannapromenaadi ääres.
Majutuskompleksis on 11 kaasaegselt ja mugavalt sisustatud külaliskorterit, mis sobivad nii paaridele kui ka peredele. Korteritest avanevad vaated merele ja mändidele. Majutuse juurde kuulub võimalus kasutada Reute spaad, kus on aurusaun, leilisaun ja sisebassein. Samas hoones asub ka Reute restoran, mis pakub Itaalia köögist inspireeritud menüüd. 
Reute Residentsid on hea valik neile, kes soovivad puhata rahulikus ja looduslähedases keskkonnas, ilma mugavustes järeleandmisi tegemata.",Majutus,Külaliskorter,,https://reute.ee/reute-residentsid/,info@reute.ee,+372 5411 0220,"Laine tn 12, Võsu alevik, Haljala vald, Lääne-Viru maakond",https://bouk.io/booking/Reute/703/rooms/429,,"Konditsioneer,Külmutuskapp,Parkimine tasuta,Saun,Suplusbassein,WIFI",,https://www.facebook.com/profile.php?id=61566269863862,,,,17101745.0,Reute OÜ,"Laine tn 12, Võsu alevik, Haljala vald, Lääne-Viru maakond",+372 551 6300,hanna@bmf.ee,,Põhja-Eesti,Lahemaa rahvuspark,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,11.0,30.0,0.0,0.0,0.0,0.0
Revelton Suites külaliskorterid,"Tallinna kesklinnas asuv Revelton Suites pakub peatumiseks mugavaid ja kaasaegseid külaliskortereid, mis asuvad vaid lühikese jalutuskäigu kaugusel Toompeast ja vanalinnast.
Kõik külaliskorterid on varustatud köögi, pesumasinaga vannitoa ning kiire WiFi-ühendusega. Külastajatele on tagatud turvaline tasuta parkimine. Mõnes korteris on ka projektor ja väike raamatukogu. Kontaktivaba sisseregistreerimine digitaalset koodi kasutades muudab saabumise lihtsaks ja paindlikuks. See on ideaalne peatumispaik neile, kes hindavad privaatsust, mugavust ja kaasaegseid lahendusi. 
 
 
 ",Majutus,Külaliskorter,,https://revelton.com/tallinn-suites/ee,info@reveltonsuites.ee,+372 880 3828,"Eha tn 6, Kesklinna linnaosa, Tallinn, Harju maakond",https://revelton.com/tallinn-suites/ee/apartments#,,"Külmutuskapp,Laste mängutuba,Parkimine tasuta,Pesumasin,WIFI",,https://www.facebook.com/reveltonhotelandapartments/?ref=bookmarks,https://www.instagram.com/revelton_official/,,,12756016.0,BS Apartments,"Eha tänav 6, Kesklinna linnaosa, Tallinn, Harju maakond",+372 8803828,booking@reveltonsuites.ee,http://www.reveltonsuites.ee,Tallinn,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,12.0,24.0,0.0,0.0,0.0,0.0
Riida turismitalu Manilaiul,"Riida talu kaunil Manija saarel ehk Manilaiul on kui väike paradiis keset merd. Ootame teid saarele igal aastaajal pere või sõpradega puhkama, tähtpäevi pidama, linde vaatlema või loometööd tegema. Ööbimiseks on aidakambrid, saunamaja, kämpingumaja ja peamaja. Suuremateks üritusteks on kasutada õueterrass ja rannas kuursaal. Toitude valmistamisel arvestame teie soove, kindlasti tasub proovida talus kasvatatud veise- ja lambaliha, köögivilju ning kohaliku mere kala. Keha ja meeli virgutab kuum saun ja karge meri või paadiretk. Riidal rõõmustavad teid toredad koerad, Šoti mägiveised ja lambad.  ",Majutus,Kodumajutus,,https://www.manilaid.ee/riidatalu/oomaja,riida@manilaid.ee,+372 505 5340,"Riida, Manija küla, Pärnu linn, Pärnu maakond",,,"Kuivkäimla,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,WC,WIFI",,https://www.facebook.com/manilaid,https://www.instagram.com/riidamanilaiul/,,,10645407.0,Tiit Pilt Riida Turismitalu FIE,"Riida, Manija küla, Pärnu linn, Pärnu maakond",+372 5055340,tiit@tostamaa.ee,,Lääne-Eesti,,Manija,Hooajaliselt,1 Veebruar - 31 Detsember,Ainult ettetellimisel,,,6.0,60.0,60.0,22.0,0.0,25.0
Rija Old Town Hotel,"Ajaloolise linnamüüri sisse rajatud Rija Old Town Hotel on elegantne kombinatsioon keskaegsest arhitektuurist ja tänapäevastest mugavustest. Hoone asub Tallinna vanalinna vaikses piirkonnas, mida peetakse reisiarvustuste põhjal üheks turistide lemmikkohaks.
Hotelli külalised saavad ööbida hubaselt disainitud tubades, kust avaneb vaade vanalinnale, nautida rikkalikku buffet-hommikusööki, kasutada piiramatult tasuta WiFi-ühendust ning soovi korral osta meelepäraseid suupisteid vastuvõtus asuvast Grab &amp; Go valikust.
Kohtumiseni Rija Old Town Hotel'is!",Majutus,Hotell,,https://www.rijahotels.com/et/hotels/rija-old-town-hotel,info.oldtownhotel@rijahotels.com,+372 614 1300,"Lai tn 49, Kesklinna linnaosa, Tallinn, Harju maakond",https://www.secure-hotel-booking.com/d-edge/Hotel-Operator-VVM/2PV5/et-EE/DateSelection,,"Allergikute toad,Gruppide toitlustus,Külmutuskapp,Parkimine tasuline,Peretoad,Toitlustus,WC,WIFI",3 tärni,https://www.facebook.com/RijaOldTownHotel,https://www.instagram.com/rija.oth/,,,14004036.0,Mogotel Estonia OÜ,"Olevimägi 4, Kesklinna linnaosa, Tallinn, Harju maakond",,promotion@mogotel.com,,Tallinn,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,41.0,87.0,0.0,0.0,0.0,0.0
Riksi püstkoda,"Riksi püstkojas ööbimine on elamus omaette. Sul on võimalus tulla puhkama ürgsesse Hiiumaa metsa ja maailma mürast end välja lülitada.Riksi püstkoda on ehitatud energiasambale ja see on suurepärane koht aja mahavõtmiseks, et• olla iseendaga;• toetada oma tervenemisprotsesse;• hingata puhast Hiiumaa õhku;• lasta ajal voolata;• nautida looduse ehedust.Püstkojas on olemas mugavad lavatsid ja magamiseks vajalikud vahendid. Samuti on olemas küte, külmik ja kohvimasin. Mõeldud on ka käte- ja näopesu võimalusele. Õues on olemas väliköök, õue matkadušš ja tünnisaun. Oled soojalt ja lahkesti oodatud!",Majutus,Elamusmajutus,,,egeriitsalu@gmail.com,+372 58133457,"Riksi, Männamaa küla, Hiiumaa vald, Hiiu maakond",https://www.booking.com/hotel/ee/riksi-pustkoda,,"Kuivkäimla,Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats",,https://www.facebook.com/riksipystkoda,,,,14590436.0,Ägeege OÜ,"Härjapea tänav 21 4, Põhja-Tallinna linnaosa, Tallinn, Harju maakond",+372 58133457,egeriitsalu@gmail.com,,Lääne-Eesti,,Hiiumaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,1.0,4.0,0.0,0.0,0.0,0.0
Ring SPA Hostel,"Ring SPA Hostel on mugav ja taskukohane täisautomaatne majutuskoht Tallinnas.
Valikus on lihtsad ja puhtad neljakohalised toad ühise pesuruumidega ning kaheinimesetoad privaatse vannitoaga. Majutuse juurde kuulub võimalus nautida luksuslikku Ring spaad, kus ootavad kümme erinevat sauna ja rikkalik basseinivalik. Lisaks pakub hubane Ring kohvik maitsvaid päevapakkumisi ning kerget hommikusööki. Samas hoones tegutseb ööpäevaringselt avatud jõusaal Gym! Läheduses asuvad Tallinna Loomaaed ja Eesti Vabaõhumuuseum.
Kohtumiseni Ring SPA hostelis!",Majutus,Hostel,,https://ringspa.ee/hostel/,info@ringspa.ee,+372 699 9100,"Õismäe tee 130, Haabersti linnaosa, Tallinn, Harju maakond",https://bouk.io/booking/ringspahostel/818/room/?language=et,,"Gruppide toitlustus,Jõusaal,Parkimine tasuta,Saun,Seminariruum,Suplusbassein,Toitlustus,Välibassein,WIFI",,https://www.facebook.com/RINGsportsaunad,https://www.instagram.com/ringspaa,,,10452524.0,Metros OÜ,"Lootsi tn 3a-42, Kesklinna linnaosa, Tallinn, Harju maakond",+372 673 7802,kaja@spatallinn.ee,,Tallinn,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,31.0,106.0,0.0,0.0,0.0,0.0
Risti kogudusemaja majutus,"Harju-Risti külas kiriku kõrval asuv kogudusemaja pakub suvehooajal majutust maja teisel korrusel asuvates tubades. Võimalus on kasutada kööki ja puhkeruume, vajadusel on ka lisavoodid ja madratsid olemas. Hommikusööki me ei paku.
Majja saab siseneda ka mööda kaldteed, I korrusel asub inva-wc.",Majutus,Kodumajutus,,https://www.ristikirik.ee/majutus-kogudusemajas/,risti@eelk.ee,+372 5358 3632,"Risti kirik/1, Harju-Risti küla, Lääne-Harju vald, Harju maakond",,,"Külmutuskapp,Laste mängutuba,Parkimine tasuta,WC",,https://www.facebook.com/ristikirik/,https://www.instagram.com/ristikirik/,,,80209151.0,Eesti Evangeelse Luterliku Kiriku Risti Kogudus,"RISTI KIRIK, Harju-Risti küla, Lääne-Harju vald, Harju maakond",+372 55649256,annika.laats@eelk.ee,http://www.ristikirik.ee,Põhja-Eesti,,,Hooajaliselt,1 Juuni - 1 Oktoober,Ainult ettetellimisel,,,1.0,2.0,0.0,0.0,0.0,0.0
Risti majutus Kihnus,"Kutsume Sind puhkama Risti majutusse Kihnu saarel!
Majutuskoht asub vaikses ja looduskaunis kohas, 2 km kaugusel sadamast. 
Majutust on võimalik rentida nii tubade kui ka terve kompleksi kaupa. Lisaks majutusele saad grillida, telli omale saun või laenuta jalgrattaid. Samuti pakume kohapeal hommikusööki.",Majutus,Kodumajutus,,https://www.kihnuristimajutus.ee/,kihnukodu@gmail.com,+372 514 2975,"Risti, Lemsi küla, Kihnu vald, Pärnu maakond",,,"Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,WC,WIFI",,https://www.facebook.com/Majutus-Kihnus-173817729987263/,,,,16359387.0,Maheke OÜ,"RISTI, Lemsi küla, Kihnu vald, Pärnu maakond",,kihnukodu@gmail.com,https://www.kihnuristimajutus.ee/,Lääne-Eesti,,Kihnu,Hooajaliselt,1 Aprill - 30 September,Ööpäevaringselt,00:00-24:00,,9.0,0.0,27.0,27.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Oktoober - 31 Märts,Ainult ettetellimisel,,,9.0,0.0,27.0,27.0,0.0,0.0
Ristna Külalistemaja,"Ristna külalistemaja asub vaid tunnikese kaugusel Tallinnast maalilise mereranna kaldal. Külalistemaja pakub merevaatega majutust kuni 50-le inimesele. Meil on 17 tuba, osad toad koos viilualuse poolkorrusega.
Külalised saavad kasutada restorani koos terrassiga (kuni 100 inimest), kahte konverentsisaali ning saunakompleksi. Suvepäevade pidamiseks on olemas merega piirnev territoorium koos ujumiskoha, lõkkeplatsi ja telkimisvõimalusega.Aktiivsed tegevused: matkad, paadi- ja jalgrattarent, kalapüük.Oleme sobiv paik ka koolituste, seminaride, firmapidude, sünnipäevade ja pulmade korraldamiseks.",Majutus,Külalistemaja,Telkimisplatsid,https://ristnasadam.ee/et/kuelalistemaja,info@ristnasadam.ee,+372 505 9038,"Tõnissoo, Keibu küla, Lääne-Harju vald, Harju maakond",,,"Külmutuskapp,Parkimine tasuta,Peretoad,Pesumasin,Puhkeala/piknikuplats,Saun,WC,WIFI",,https://www.facebook.com/ristnasadam/,,,,10221587.0,Larsen FP OÜ,"RISTNA, Keibu küla, Lääne-Harju vald, Harju maakond",,enn.ristna@mail.ee,,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,17.0,0.0,50.0,50.0,0.0,0.0
Rivaal külalistemaja,"Rivaal külalistemaja asub Põltsamaa jõe kaldal kesklinnas, suvel õitseva Roosisaare kõrval.Meie juures saavad ööbida nii väiksemad töökollektiivid, pered kui ka sõpruskonnad ning huvigrupid. Jalutuskäigu kaugusele jäävad suuremad vaatamisväärsused, poed ja kultuuriasutused. Lisaks majutusele on võimalik korraldada seminare. Meil on head seminarivõimalused  ning toitlustus on kohapeal olemas.",Majutus,Külalistemaja,,,rivaal@rivaal.ee,+372 5122626,"Veski tn 1, Põltsamaa linn, Põltsamaa vald, Jõgeva maakond",https://www.booking.com/hotel/ee/rivaal-guesthouse.et.html?aid=318615&label=New_Estonian_ET_19114763065-ZsrWVfhmP%2Aacs%2AL5QSLRJQS217288670323%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg&sid=8e2e9f240d94ef8cfb8d3fa7e9f99e06&age=1&all_sr_blocks=118787101_121236545_2_2_0&checkin=2025-07-15&checkout=2025-07-17&dest_id=-2624647&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=118787101_121236545_2_2_0&hpos=1&matching_block_id=118787101_121236545_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=118787101_121236545_2_2_0__8600&srepoch=1749710074&srpvid=a3d42e3b4cc001b2&type=total&ucfs=1&,,"Külmutuskapp,Parkimine tasuta,Toitlustus,WC,WIFI",,https://www.facebook.com/Rivaalkohvik/,,,,10150002.0,OÜ NIELLO,"Põltsamaa linn, Põltsamaa vald, Jõgeva maakond",,rivaal@rivaal.ee,,Lõuna-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,8.0,20.0,20.0,20.0,0.0,0.0
Riverside Villa,"Ajalooline 1860. aastal nurgakivi saanud Luunja jõesadamas asuv Riverside Villa on tore koht sõpruskonnaga peatumiseks, seminaride või sündmuste korraldamiseks.Esimesel korrusel on täisköögiga, vanade punaste tellisseintega saal, suure ekraaniga teler ja muusikakeskus. Esimesel korrusel asub majakülalistele ruumikas saun. Teisel korrusel on 5 numbrituba, millest kaks on kahetoalised.  Voodikohad maksimaalselt kuni 14le inimesele.Välja rendime ainult kogu maja.Paadiga tulijatele on Luunja Jõesadamas olemas külaliskohad. Meilt saab rentida mootorpaati või jõesauna. Korraldame kalaretki.",Majutus,Puhkemaja,,https://riversidevilla.ee/,info@riversidevilla.ee,+372 5645 4954,"Aedniku tn 12, Luunja alevik, Luunja vald, Tartu maakond",https://www.booking.com/hotel/ee/riverside-villa.et.html?aid=356980&label=gog235jc-1DCAsoQkIPcml2ZXJzaWRlLXZpbGxhSAtYA2hCiAEBmAELuAEXyAEM2AED6AEB-AECiAIBqAIDuAKPwqa6BsACAdICJDUyMjQwYmE5LWZhOTQtNDY3Yy05NTIwLWVmMThlZjM0ZGMwM9gCBOACAQ&sid=199edb35d056eeaedc8690d182e09bcc&age=0&checkin=2024-12-18&checkout=2024-12-19&dest_id=-2623506&dest_type=city&dist=0&group_adults=1&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=1&req_children=0&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1732878613&srpvid=72194e88fcf302ce&type=total&ucfs=1&lang=et&soz=1&lang_changed=1#no_availability_msg,,"Haagissuvila/karavani parkla,Külmutuskapp,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,Seminariruum,WC,WIFI",,https://www.facebook.com/riversidevilla.ee/,,,,11569111.0,Boatservice OÜ,"Talli tänav 4 LUUNJA ALAJAAM, Luunja alevik, Luunja vald, Tartu maakond",+372 5111106,sven@riversidevilla.ee,http://paadiservis.ee,Lõuna-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,5.0,9.0,9.0,8.0,0.0,0.0
Rixwell Collection Savoy Boutique Hotel,"Rixwell Collection Savoy Boutique Hotell on neljatärniline Art Déco stiilis majutusasutus, mis ühendab endas kaasaegse mugavuse ja luksuse. Iga tuba on hoolikalt kujundatud, vastamaks kaasaegse puhkuse- ja ärireisija ootustele. 
Külalistel on võimalus ööbida konditsioneeri ning teiste mugavustega varustatud vanalinna vaatega tubades, kasutada piiramatut WiFi ja auto parklat.Einestamiseks on võimalik nautida nii luksuslikku hommikusööki kui rikkalikult maitsestatud pearoogasid hotellis asuvas restoranis Hoov. Lisateenusena on võimalik kasutada kohtumisteks ja koosolekuteks konverentsiruumi.
 ",Majutus,Hotell,Lemmikloomasõbralik,https://www.rixwell.com/ee/hotels/savoy-boutique-hotel-tallinn,info.savoy@rixwell.com,+372 680 6688,"Suur-Karja tn 17, Kesklinna linnaosa, Tallinn, Harju maakond",https://www.secure-hotel-booking.com/d-edge/Hotel-Operator-VVM/JS2E/et-EE/DateSelection,,"Allergikute toad,Gruppide toitlustus,Invatoad,Konditsioneer,Külmutuskapp,Parkimine tasuline,Seminariruum,Toitlustus,WIFI",4 tärni,https://www.facebook.com/people/Rixwell-Collection-Savoy-Boutique-Hotel/100084137254707/,https://www.instagram.com/rc.savoy.boutique/,,,16513782.0,Mogotel development Estonia OÜ,"Lai tn 49, Kesklinna linnaosa, Tallinn, Harju maakond",+372 5671 5401,manager.savoy@rixwell.com,,Tallinn,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,44.0,88.0,0.0,0.0,0.0,0.0
Rixwell Viru Square Hotel,"Rixwell Viru Square Hotel asub ideaalses asukohas otse Tallinna vanalinna südames, peatänaval, mis ühendab ajaloolise vanalinna kaasaegse linnameluga. Hotell pakub mugavat ja taskukohast majutust nii puhkusereisijatele kui ka ärikülastajatele.
Külalised saavad nautida rikkalikku hommikusööki, tasuta WiFi ning auto parkimist. Samas hoones asub Eesti kööki pakkuv restoran Farm ning värskeid pagaritooteid pakkuv kohvik Rukis.
Lisateenusena on võimalik juurde osta lõõgastumiseks Soome või Türgi saun. Koosolekuteks on võimelik borneerida konverentsiruum.
Oled oodatud!",Majutus,Hotell,,https://www.rixwell.com/ee/hotels/rixwell-viru-square,info.virusquare@rixwell.com,+372 669 1500,"Viru tn 11, Kesklinna linnaosa, Tallinn, Harju maakond",https://www.secure-hotel-booking.com/d-edge/hotel-operator-vvm/2E2Y/26306/et-EE/DateSelection,,"Allergikute toad,Gruppide toitlustus,Invatoad,Külmutuskapp,Parkimine tasuline,Peretoad,Saun,Seminariruum,Toitlustus,WIFI",,https://www.facebook.com/rixwellviru/,https://www.instagram.com/rixwell_viru_square/,,,14910243.0,WINWINSTAY Estonia OÜ,"Lai tn 49, Kesklinna linnaosa, Tallinn, Harju maakond",+371 29 335 583,marketing@mogotel.com,,Tallinn,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,82.0,163.0,0.0,0.0,0.0,0.0
Rogosi külaliskorter,"Kui Te soovite tunda aja peatumist ja olla iseenda, oma pere või heade sõpradega, siis peatuge meie armsas Rogosi külaliskorteris.Külaliskorter asub nostalgilises kahekorruselises kortermajas, mille akendest avaneb vaade Haanjamaa kuplitele ja aialappide imelisse maailma. Teie käsutuses on 2 magamistuba, elutuba ja köök (ise valmistan - ise söön = täis kõht + raha sääst). Wi-Fi ja parkimine on Teile tasuta.Mõne minutilise teekonna kaugusel asub ainulaadne Rogosi kastellmõis, park ja rand ning 10 minutilise teekonna kaugusel Suur Munamägi ja Vällamägi. Hää tullaq, hää ollaq, kipõt olõiq kohegi!",Majutus,Külaliskorter,,https://www.rogosi.ee/majutus/,anneli@rogosi.ee,+372 5903 4408,"Tammiku tee 5, Ruusmäe küla, Rõuge vald, Võru maakond",https://bit.ly/4jFmLVX,,"Külmutuskapp,Parkimine tasuta,WC,WIFI",,,,,,11356912.0,Lilywhite OÜ,"Tammiku tee 5 5, Ruusmäe küla, Rõuge vald, Võru maakond",+372 5051547,rogosi@rogosi.ee,http://ww.rogosi.ee,Lõuna-Eesti,Vana-Võromaa,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,3.0,5.0,5.0,5.0,0.0,0.0
Rogosi mõisa külaliskorter,"Ruusmäel asuvas Rogosi mõisa külaliskorteris on kõik vajalik ning kohapeal on ka hea sisseseadega majutusruumid. Tasuta WiFi-ühendusega majutusasutus jääb Suure Munamäe mäest 10 km ja Piusa koobastest 49 km kaugusele.
Majutusasutuses on lameekraaniga televiisor, privaatne dušiga vannituba ning kööginurk, kus on külmkapp, veekeetja ja kõik muu vajalik. Kokkuleppel jõusaali kasutus. 
Külaliskorteris ööbijatel on võimalik tellida eelneval kokkuleppel meie poolt ka  hommiku-, lõuna- või õhtusööki. Lisatasu eest sauna kasutamise võimalus. Meie juurde on oodatud ka hästikäituvad lemmikloomad.",Majutus,Külaliskorter,Lemmikloomasõbralik,https://rogosimois.ee/kulaliskorter/,info@visitrouge.com,+372 528 2989,"Tammiku tee 13, Ruusmäe küla, Rõuge vald, Võru maakond",https://www.booking.com/Share-70iP4A,,"Haagissuvila/karavani parkla,Jõusaal,Külmutuskapp,Parkimine tasuta,Peretoad,Pesumasin,Puhkeala/piknikuplats,Saun,Toitlustus,WC,WIFI",,https://www.facebook.com/rogosimois,https://www.instagram.com/rogosimois/,,,90015494.0,Sihtasutus Rõuge valla turism,"Tammiku tee 13, Ruusmäe küla, Rõuge vald, Võru maakond",+372 528 2989,info@visitrouge.com,,Lõuna-Eesti,Vana-Võromaa,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,3.0,8.0,0.0,0.0,0.0,0.0
Rogosi mõisa külalistoad,"Ruusmäel asuvas Rogosi mõisa lõunatiiva teisel korrusel on kümme pisikest ja valgusküllast tuba, voodikohtade arv kokku 32 (vajadusel lisamajutus 50-le).  Tualett- ja duširuumid asuvad koridori lõpus. Mõisa köök pakub toitlustust, soovi korral saab mõnuleda mõisa saunas, tutvuda mõisa looga. Tasuta WiFi-ühendusega majutusasutus jääb Suure Munamäe mäest 10 km, Vastseliina Piiskopilinnusest 32 km, Rõuge Pesapuu vaatetornist 17 km ja Piusa koobastest 49 km kaugusele.
 ",Majutus,Külalistemaja,,https://rogosimois.ee/kulalistoad/,info@visitrouge.com,+372 528 2989,"Tammiku tee 13, Ruusmäe küla, Rõuge vald, Võru maakond",https://bit.ly/3IsbADn,,"Gruppide toitlustus,Haagissuvila/karavani parkla,Parkimine tasuta,Pesumasin,Saun,Seminariruum,WC,WIFI",,https://www.facebook.com/rogosimois,https://www.instagram.com/rogosimois,,,90015494.0,Sihtasutus Rõuge valla turism,"Tammiku tee 13, Ruusmäe küla, Rõuge vald, Võru maakond",+372 528 2989,info@visitrouge.com,,Lõuna-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,10.0,32.0,0.0,0.0,0.0,0.0
ROHE Hostel,"ROHE Hostel on hubane ja sõbralik peatuspaik Tartu kesklinna servas. Hostelist jalutuskäigu kaugusel asuvad lõõgastavad rohealad, suurepärased sportimisvõimalused, põnevad muuseumid ja mitmekesised vabaaja veetmise võimalused!
Me ei ole pelgalt hostel, vaid jätkusuutlikkust väärtustav keskkonnasõbralik elukeskkond. Järgime mõtteviisi, mis on hoidev ja hooliv nii enda, teiste kui ka ümbritseva suhtes.
Meie maalähedastes toonides toad loovad mõnusa õhkkonna ja rahustavad meeli. 
 ",Majutus,Hostel,,https://www.rohehostel.ee,stay@rohehostel.ee,+372 5368 4181,"F. R. Kreutzwaldi tn 52, Tartu linn, Tartu linn, Tartu maakond",https://hotel.bidrento.com/booking/rohehostel/et/,,"Invatoad,Jõusaal,Külmutuskapp,Parkimine tasuta,Pesumasin,Saun,WIFI",,https://www.facebook.com/profile.php?id=61557894550671,https://www.instagram.com/rohehostel,,,11136278.0,OÜ Torni Hostel,"Kreutzwaldi 52, Tartu, Tartu maakond",,karl.zeigo@emu.ee,,Lõuna-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,40.0,300.0,300.0,40.0,0.0,0.0
Rohuaia külaliskorterid,Rohuaia külaliskorterid on hubased ja vaiksed majutuskohad Rakvere kesklinnas. Siia on hea juurdepääs nii jalgsi kui ka autoga. Osad korterid ka oma kööginurgaga. Hea teada: Samas majas asub ka Rohuaia kohvik. ,Majutus,Külaliskorter,,,rohuaiakohvik@gmail.com,+372 53316081,"Rohuaia tn 13, Rakvere linn, Lääne-Viru maakond",https://www.booking.com/hotel/ee/rohuaia-apartments.et.html?label=English_Estonia_EN_EE_29381413945-Xiow9ZuTzpiWLxjSB6bIfwS217245053262%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atidsa-64415224945%3Alp9069663%3Ali%3Adec%3Adm&sid=c49c76d8f8624220fc5160783bc2637a&gclid=Cj0KCQiAj9m7BhD1ARIsANsIIvBFTqEGGzXjwvqTzoniI6m0sbV1VJk5MN7UtUCyChxT_wzNr06Ii-saApqmEALw_wcB&aid=318615&ucfs=1&arphpl=1&dest_id=-2624869&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7c1761e14a6502fa&srepoch=1735826121&from=searchresults,,"Parkimine tasuta,WIFI",,,,,,10633568.0,Osaühing Traus-RAK,"Rohuaia tänav 13, Rakvere linn, Lääne-Viru maakond",+372 3225333,rohuaiakohvik@gmail.com,http://rohuaiakohvik.ee/,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,5.0,10.0,0.0,0.0,0.0,0.0
